"ほげほげ"		,"ホゲホゲ"
#"ＴＯＫＹＯ　ＭＸ２", "ＴＯＫＹＯ　ＭＸ・２"
"チバテレビ１", "ちばテレビ"
#"放送大学１", "放送大学"
"放送大学２", "放送大学2"
"放送大学３", "放送大学3"

"ＮＨＫＢＳ１","NHK BS1"
"ＮＨＫＢＳプレミアム","NHK BSプレミアム"
#"ＢＳ日テレ", "BS日テレ"
"ＢＳ−ＴＢＳ","ＢＳ-ＴＢＳ"
"ＢＳフジ・１８１","ＢＳフジ"
#"ＢＳフジ・１８２", ""
#"ＢＳフジ・１８３", ""
"ＢＳ朝日１","ＢＳ朝日"
#"ＢＳジャパン", "BS Japan"
#"ＢＳ１１", "BS11デジタル"
#"ＴｗｅｌｌＶ", "TwellV"
"放送大学ＢＳ１", "放送大学BS1"
"放送大学ＢＳ２", "放送大学BS2"
"放送大学ＢＳ３", "放送大学BS3"

#"ＷＯＷＯＷプライム", "WOWOWプライム"
#"ＷＯＷＯＷライブ", "WOWOWライブ"
#"ＷＯＷＯＷシネマ", "WOWOWシネマ"
#"スター・チャンネル１", ""
#"スター・チャンネル２", ""
#"スター・チャンネル３", "スター・チャンネル3"
#"ＢＳアニマックス", "BSアニマックス"
#"ディズニーチャンネル", "ディズニー・チャンネル"
"ＦＯＸｂｓ２３８", "FOXbs238"
#"ＢＳスカパー！", "BSスカパー！"
#"グリーンチャンネル", ""
"Ｊ　ＳＰＯＲＴＳ　１", "J SPORTS 1"
"Ｊ　ＳＰＯＲＴＳ　２", "J SPORTS 2"
"イマジカＢＳ", "IMAGICA BS"
"Ｊ　ＳＰＯＲＴＳ　３", "J SPORTS 3"
"Ｊ　ＳＰＯＲＴＳ　４", "J SPORTS 4"
"ＢＳ釣りビジョン", "BS釣りビジョン"
"ＢＳ日本映画専門ｃｈ", "日本映画専門チャンネル"
#"Ｄｌｉｆｅ", "Dlife"
"ＴＢＳチャンネル１", "TBSチャンネル1"
"テレ朝チャンネルＨＤ", "テレ朝チャンネル"
#"朝日ニュースターＨＤ", ""
#"ショップチャンネル", ""
#"東映チャンネル", "東映チャンネル"
#"衛星劇場", ""
#"ミュージック・エア", ""
#"ディズニージュニア", ""
#"スカチャン０", ""
#"スカチャン１", ""
#"スカチャン２", ""
#"スカチャン３", ""
#"スカパー！プロモ", ""
"チャンネルＮＥＣＯ", "チャンネルNECO"
#"ザ・シネマ", ""
#"ｓｋｙ・Ａスポーツ＋", ""
#"ヒストリーチャンネル", ""
#"囲碁・将棋チャンネル", ""
"ホームドラマＣＨ", "ホームドラマチャンネル"
#"ＭＴＶ", ""
#"歌謡ポップス", ""
"ディスカバリー", "ディスカバリーチャンネル"
#"アニマルプラネット", "アニマルプラネット"
#"ＣＮＮｊ", ""
#"ＧＡＯＲＡ", ""
"エムオン！ＨＤ", "MUSIC ON! TV"
#"キッズステーション", "キッズステーション"
#"時代劇専門ｃｈＨＤ", ""
"ファミリー劇場ＨＤ", "ファミリー劇場"
#"スーパー！ドラマＨＤ", ""
#"ＳＫＹ　ＳＴＡＧＥ", ""
#"チャンネル銀河", ""
#"ＡＸＮ", ""
"ＡＴ−Ｘ", "AT-X"
#"ナショジオチャンネル", ""
#"ＢＢＣワールド", ""
"ムービープラスＨＤ", "ムービープラス"
#"ゴルフネットＨＤ", ""
#"女性ｃｈ／ＬａＬａ", ""
"フジテレビＯＮＥ", "フジテレビONE"
"フジテレビＴＷＯ", "フジテレビTWO"
"フジテレビＮＥＸＴ", "フジテレビNEXT"
#"ＱＶＣ", ""
"ＴＢＳチャンネル２", "TBSチャンネル2"
#"ＦＯＸ", ""
"スペースシャワーＴＶ", "スペースシャワーTV"
"カートゥーン", "カートゥーンネットワーク"
#"ＴＢＳニュースバード", ""
#"ＦＯＸムービー", ""
#"日テレＧ＋　ＨＤ", ""
#"日テレプラス", "日テレプラス"
"スペシャプラス", "スペースシャワーTV プラス"
#"日テレＮＥＷＳ２４", ""
#"旅チャンネル", "旅チャンネル"

#<<---2012.10.15-ADD---
